FID,IID,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
282set,F6,0.00760696,0.0254198,-0.00226287,0.0169929,0.00350718,0.000956119,0.0210132,-0.0170665,-0.0209891,-0.0205042,-0.0189459,0.0711134,-0.0467288,-0.0280156,-0.0263653,-0.00769847,0.00293639,-0.00278869,-0.0481828,-0.0262802
282set,F7,-0.0145562,0.0723352,-0.0911881,-0.0119768,0.00753293,0.0318321,-0.183927,-0.0380086,0.0647088,0.0522576,-0.00300244,-0.0612962,0.0600748,-0.00612233,0.113342,-0.0387449,0.371664,0.0091339,-0.0650889,0.11293
282set,F44,0.00623083,0.0151682,-0.0140497,0.0194365,0.00359947,0.0127022,-0.0111628,-0.0351743,-0.0342796,0.0041802,0.00596909,0.0907585,-0.0094729,-0.0130969,-0.0282669,-0.00924608,0.031277,-0.0253188,-0.0707153,-0.00635758
282set,F2834T,0.0314409,0.00118531,-0.0257765,0.0355747,0.00748644,8.90021e-06,0.003941,0.0011026,-0.014018,-0.0128986,0.00432143,0.0494865,-0.00284961,-0.00891634,0.0167394,0.0366085,-0.00338771,-0.0248392,0.0234239,0.00879553
282set,GA209,-0.00556432,0.0195775,-0.0126357,0.016206,0.00875593,0.0192648,-0.0136737,-0.0230801,-0.0265887,-0.00691048,0.0107527,0.0787983,-0.0159961,-0.000553549,0.0113435,0.0205831,0.00658569,-0.0152622,0.0178928,-0.0234577
282set,GT112,0.016589,0.0086618,0.0197246,0.0332405,-0.00707568,0.0056493,0.00957102,-0.0202031,0.0392059,-0.0371907,0.0269754,0.19684,0.160106,-0.378287,-0.123646,-0.0730081,-0.0437689,-0.0635363,0.109219,0.0585934
282set,H49,-0.02505,0.0276153,0.0403741,0.048343,-0.0592835,-0.026013,0.117196,-0.133124,-0.00336974,0.0342299,0.115827,-0.138467,0.204401,-0.0113619,0.0922306,0.0285227,-0.0461168,0.0555414,-0.013226,0.0197051
282set,H84,-0.0578981,-0.0252644,-0.0121135,-0.046142,-0.0114158,-0.0608036,-0.00847147,0.0168222,0.173097,0.168245,0.0601085,0.0817806,0.00872279,0.00126081,0.0143349,0.0414201,-0.0332142,-0.0150386,0.0113883,0.0379888
282set,H91,-0.105867,-0.121873,0.00654623,0.0873532,-0.0804105,0.191733,0.00452335,0.0807398,0.0232793,0.0384862,0.00383632,-0.0212403,0.0347793,0.00642794,-0.00218959,-0.0061884,-0.0124748,-0.00235136,0.0186155,0.00422842
282set,H95,-0.0203385,0.0491946,0.0130161,-0.0409242,-0.105744,-0.112677,-0.0403227,0.169769,-0.0529121,-0.0124006,-0.00293463,-0.0019401,0.0453722,-0.0164692,0.0154482,-0.0204841,-0.00406607,-0.0223775,-0.00217081,-0.0390723
282set,H99,-0.0292555,0.0482345,0.00946563,-0.0223215,-0.0848636,-0.0824849,-0.0420264,0.0876925,-0.0280825,-0.0120503,-0.0324009,-0.0063637,0.00635579,-0.00994531,0.0158628,-0.0125597,-0.0153231,0.0163417,0.0138236,-0.0239455
282set,H105W,-0.0750141,-0.061559,-0.00207446,0.066393,-0.0647387,0.154287,0.00248265,0.0545903,0.0248327,0.0563076,-0.00877417,0.00951034,0.0119403,0.030428,0.0115639,-0.00754383,-0.00925685,-0.00685621,0.025892,0.00184107
282set,Hi27Goodman-Buckler,0.0252537,-0.0572118,-0.00804232,0.0619724,-0.0204855,0.0716301,-0.0142036,0.0429999,0.0560144,0.0268306,-0.0211218,-0.000909553,0.0724082,-0.0356912,-0.0173215,-0.0391613,0.0274234,-0.000303493,0.0108186,-0.00392655
282set,HP301,-0.0292231,0.105057,-0.286239,-0.0939225,0.118869,0.0634679,0.196869,0.126783,0.00435269,0.00243808,-0.00169953,-0.0363547,0.0171964,-0.000799534,-0.0141209,-0.0170403,-0.0057263,0.00498744,0.0108594,3.32694e-05
282set,I29,-0.0138513,0.0534492,-0.111937,-0.0152588,0.0222758,0.0435356,-0.00590163,-0.0120347,-0.0428366,-0.0215245,-0.0100991,-0.0143651,-0.0247039,0.0106423,0.00111309,0.0206398,0.0318661,-0.0314123,-0.0343536,0.00191943
282set,I137TN,0.0266182,0.0174059,-0.0201436,0.0223707,0.0047654,-0.0144013,-0.0110164,0.00669468,0.0139761,-0.012249,0.000100953,0.0267462,-0.0129077,-0.0112298,0.0490765,0.00647475,0.0231067,-0.0114024,0.0390538,0.0155115
282set,I205,-0.038987,0.00720052,0.00616902,0.0174119,-0.0387777,-0.000584532,0.0556092,-0.0551216,0.037365,-0.0480698,-0.00576349,-0.0275145,-0.0126961,-0.0157216,-0.0445368,0.0140696,-0.0168955,0.0136214,0.0106612,-0.00464663
282set,i1677a,-0.0315041,0.0840308,-0.099814,-0.0208926,0.00646718,0.0550279,-0.22517,-0.13573,-0.0215715,-0.0146803,-0.0101954,-0.0851971,0.0224484,0.0311947,-0.0733048,0.0193241,-0.106183,-0.061035,-0.0258637,-0.0925624
282set,IA2132Goodman-Buckler,-0.0394263,0.0618877,-0.0708015,-0.0174994,0.00168821,0.030227,-0.162536,-0.119008,-0.0538025,-0.0102164,-0.00533654,-0.045713,0.00778205,0.0373777,-0.0946509,-0.000354263,-0.103414,-0.0333158,0.0243026,-0.0688841
282set,Ia5125,-0.0493669,0.0758533,-0.0781142,-0.00916949,-0.0189671,0.0576707,-0.205805,-0.121806,-0.015772,-0.00955682,-0.0132557,-0.0553682,0.015966,-0.0154229,-0.0872911,0.0397808,-0.147573,-0.0107939,-0.0123051,-0.0593026
282set,IDS28,-0.0221509,0.0819978,-0.113797,-0.0338584,0.0384741,0.0358001,0.0211462,0.00118848,0.0172916,-0.0370317,0.0141309,-0.0016443,0.00377694,-0.00490623,-0.00882843,0.00432727,-0.0416647,0.028692,0.00999329,-0.0264572
282set,IDS69,-0.0285671,0.107321,-0.288672,-0.091742,0.116829,0.06321,0.192569,0.126035,0.0125729,0.0109834,-0.000727012,-0.0369012,0.0263765,-0.00045221,-0.0143067,-0.0158221,-0.011444,0.016985,0.0156625,-0.00134603
282set,IDS91,-0.0283982,0.107407,-0.287714,-0.0949008,0.119546,0.061246,0.194464,0.12864,0.00734978,0.0106864,-0.00120062,-0.035932,0.0232054,0.00076696,-0.0134468,-0.0152853,-0.00744758,0.0100306,0.0130801,0.00267056
